"","earn","height1","height2","sex","race","hisp","ed","yearbn","height","age","age_category","eth","male"
"1373",6000,5,3,2,1,2,14,55,63,35,2,3,0
"1374",5300,5,6,2,1,2,13,30,66,60,3,3,0
"1376",15000,5,1,2,1,2,13,62,61,28,1,3,0
"1379",0,5,2,2,1,2,12,61,62,29,1,3,0
"1381",17000,6,1,1,1,2,12,44,73,46,2,3,1
"1383",4700,5,6,2,2,2,12,12,66,78,3,1,0
"1385",0,5,8,2,1,2,12,72,68,18,1,3,0
"1386",9500,5,2,2,1,2,12,25,62,65,3,3,0
"1387",1700,5,5,1,1,2,12,68,65,22,1,3,1
"1388",0,5,3,2,1,2,14,47,63,43,2,3,0
"1389",5400,5,2,2,1,2,12,59,62,31,1,3,0
"1390",10000,5,8,1,1,2,12,59,68,31,1,3,1
"1391",25000,4,11,2,1,2,15,7,59,83,3,3,0
"1392",0,5,2,2,1,2,12,51,62,39,2,3,0
"1397",0,5,4,2,1,2,9,27,64,63,3,3,0
"1402",35000,5,8,2,1,2,16,47,68,43,2,3,0
"1404",28000,5,3,2,1,2,18,46,63,44,2,3,0
"1405",42000,5,3,2,1,2,12,50,63,40,2,3,0
"1407",45000,5,8,1,1,2,12,32,68,58,3,3,1
"1408",55000,5,4,2,1,2,12,39,64,51,3,3,0
"1412",36000,5,10,2,1,2,16,60,70,30,1,3,0
"1414",25000,5,10,1,1,2,10,59,70,31,1,3,1
"1415",19000,6,0,1,1,2,12,62,72,28,1,3,1
"1416",38000,5,9,1,1,2,11,40,69,50,3,3,1
"1417",15000,5,3,2,1,2,14,53,63,37,2,3,0
"1418",4500,4,10,2,1,2,5,5,58,85,3,3,0
"1419",96000,5,3,2,1,2,14,63,63,27,1,3,0
"1420",11000,5,3,2,1,2,12,43,63,47,2,3,0
"1421",9000,6,1,1,1,2,15,56,73,34,1,3,1
"1422",5000,5,9,2,1,2,14,66,69,24,1,3,0
"1423",50000,5,10,1,1,2,12,39,70,51,3,3,1
"1424",0,5,6,2,1,2,12,31,66,59,3,3,0
"1426",0,5,6,2,1,2,16,28,66,62,3,3,0
"1427",6000,5,5,2,1,2,13,46,65,44,2,3,0
"1428",1e+05,6,0,1,1,2,13,68,72,22,1,3,1
"1429",16500,5,2,2,1,2,13,44,62,46,2,3,0
"1431",0,5,9,1,1,2,12,72,69,18,1,3,1
"1435",32000,6,0,1,1,2,14,50,72,40,2,3,1
"1436",30000,6,1,1,1,2,18,49,73,41,2,3,1
"1437",10000,5,8,2,1,2,16,48,68,42,2,3,0
"1439",0,5,4,2,1,2,12,55,64,35,2,3,0
"1440",15000,5,6,2,1,2,12,71,66,19,1,3,0
"1442",6500,5,0,2,1,2,8,7,60,83,3,3,0
"1443",26000,5,0,2,1,2,18,27,60,63,3,3,0
"1444",17000,5,5,2,1,2,12,31,65,59,3,3,0
"1445",22000,5,3,2,4,2,18,31,63,59,3,4,0
"1447",10000,5,4,2,1,2,12,49,64,41,2,3,0
"1448",50000,5,11,1,1,2,14,32,71,58,3,3,1
"1449",20000,5,7,1,1,2,12,55,67,35,2,3,1
"1452",0,5,7,2,1,2,13,31,67,59,3,3,0
"1453",400,5,3,2,1,2,12,59,63,31,1,3,0
"1455",16000,5,5,2,1,2,14,31,65,59,3,3,0
"1457",10000,5,6,2,1,2,12,24,66,66,3,3,0
"1458",14000,5,3,2,1,2,13,32,63,58,3,3,0
"1459",5000,5,5,2,1,2,15,70,65,20,1,3,0
"1460",40000,6,2,1,1,2,16,56,74,34,1,3,1
"1461",5000,5,7,2,1,2,13,35,67,55,3,3,0
"1462",25000,5,8,2,1,2,17,43,68,47,2,3,0
"1463",12000,5,5,2,1,2,12,39,65,51,3,3,0
"1464",58000,5,4,2,1,2,16,56,64,34,1,3,0
"1465",18000,5,8,2,1,2,16,64,68,26,1,3,0
"1466",1000,5,5,1,1,2,12,72,65,18,1,3,1
"1467",21000,6,0,1,1,2,17,43,72,47,2,3,1
"1468",11000,5,6,1,2,2,12,28,66,62,3,1,1
"1470",13000,5,4,2,1,2,12,54,64,36,2,3,0
"1471",0,5,4,2,1,2,12,37,64,53,3,3,0
"1473",25000,6,0,1,2,2,12,55,72,35,2,1,1
"1476",600,5,4,2,1,2,12,47,64,43,2,3,0
"1477",25000,5,7,1,2,2,14,64,67,26,1,1,1
"1479",36000,5,8,1,1,2,12,62,68,28,1,3,1
"1480",15000,5,4,2,4,2,13,57,64,33,1,4,0
"1482",3500,5,6,2,1,2,12,39,66,51,3,3,0
"1483",19005,5,5,2,1,2,16,56,65,34,1,3,0
"1484",62000,5,10,1,1,2,14,36,70,54,3,3,1
"1486",25000,5,10,1,1,2,12,48,70,42,2,3,1
"1487",50000,5,6,1,1,2,12,38,66,52,3,3,1
"1488",0,5,4,2,1,2,12,62,64,28,1,3,0
"1489",0,5,6,2,1,2,13,64,66,26,1,3,0
"1490",40000,5,6,1,1,2,12,29,66,61,3,3,1
"1491",26000,6,2,1,1,2,18,64,74,26,1,3,1
"1494",22000,5,2,2,1,2,12,42,62,48,2,3,0
"1495",21000,5,6,2,1,2,17,51,66,39,2,3,0
"1496",6108,5,2,2,1,2,12,25,62,65,3,3,0
"1497",30000,5,5,2,2,2,18,26,65,64,3,1,0
"1501",6000,5,3,2,1,2,12,12,63,78,3,3,0
"1503",27000,5,11,1,1,2,16,61,71,29,1,3,1
"1505",4000,5,6,2,1,2,16,48,66,42,2,3,0
"1507",4416,5,2,2,9,2,6,18,62,72,3,4,0
"1511",0,5,2,2,1,2,12,14,62,76,3,3,0
"1512",5000,5,3,2,1,2,10,3,63,87,3,3,0
"1513",0,5,5,2,1,2,9,15,65,75,3,3,0
"1514",45000,5,7,1,1,2,18,50,67,40,2,3,1
"1515",18000,5,1,2,1,2,14,45,61,45,2,3,0
"1516",6000,5,6,2,1,2,15,68,66,22,1,3,0
"1517",0,5,1,2,1,2,12,41,61,49,2,3,0
"1518",14000,6,0,1,1,2,12,66,72,24,1,3,1
"1519",35000,5,9,2,1,2,14,66,69,24,1,3,0
"1521",15000,5,4,2,1,2,16,61,64,29,1,3,0
"1522",12000,5,3,2,2,2,12,61,63,29,1,1,0
"1523",1000,5,0,2,1,2,12,43,60,47,2,3,0
"1524",32000,5,10,1,2,2,15,57,70,33,1,1,1
"1528",1500,6,1,1,1,2,12,71,73,19,1,3,1
"1531",3000,5,5,2,2,2,16,67,65,23,1,1,0
"1533",35000,5,4,2,1,2,12,48,64,42,2,3,0
"1534",0,5,3,2,1,2,12,45,63,45,2,3,0
"1535",0,5,3,2,1,2,16,61,63,29,1,3,0
"1536",70000,6,0,1,1,2,15,42,72,48,2,3,1
"1537",21000,5,7,2,1,2,16,62,67,28,1,3,0
"1538",50000,5,9,1,1,2,11,72,69,18,1,3,1
"1539",15000,5,11,1,1,2,9,69,71,21,1,3,1
"1540",0,5,8,1,1,1,10,72,68,18,1,2,1
"1542",0,6,1,1,2,2,12,70,73,20,1,1,1
"1544",9000,5,6,2,2,2,8,55,66,35,2,1,0
"1547",10000,5,3,2,2,2,14,65,63,25,1,1,0
"1548",0,5,5,2,1,2,12,30,65,60,3,3,0
"1551",30000,5,11,1,1,2,12,43,71,47,2,3,1
"1552",16000,6,0,1,1,2,14,69,72,21,1,3,1
"1553",20000,5,8,1,1,2,12,39,68,51,3,3,1
"1554",0,5,4,2,1,2,12,45,64,45,2,3,0
"1555",1e+05,6,0,1,1,2,17,36,72,54,3,3,1
"1557",10000,5,6,2,1,2,12,47,66,43,2,3,0
"1559",35000,5,6,1,1,2,14,27,66,63,3,3,1
"1560",7000,5,5,2,1,2,16,59,65,31,1,3,0
"1561",0,5,5,2,1,2,12,28,65,62,3,3,0
"1562",0,5,6,2,1,2,12,38,66,52,3,3,0
"1563",0,5,5,2,1,2,11,52,65,38,2,3,0
"1564",8000,5,11,1,2,2,14,63,71,27,1,1,1
"1565",11000,6,2,1,1,2,10,40,74,50,3,3,1
"1566",25000,5,10,1,1,2,9,43,70,47,2,3,1
"1567",25000,5,4,2,1,2,14,45,64,45,2,3,0
"1568",30000,5,9,1,1,2,14,42,69,48,2,3,1
"1570",0,5,6,1,1,2,12,64,66,26,1,3,1
"1571",48000,5,3,2,1,2,18,56,63,34,1,3,0
"1572",17000,5,8,2,1,2,12,44,68,46,2,3,0
"1575",0,5,11,2,1,2,8,20,71,70,3,3,0
"1578",26000,6,1,1,1,2,16,66,73,24,1,3,1
"1580",10000,5,3,2,1,2,12,29,63,61,3,3,0
"1582",0,5,5,2,1,2,11,33,65,57,3,3,0
"1584",60000,5,11,1,1,2,18,37,71,53,3,3,1
"1585",22000,5,5,2,1,2,18,61,65,29,1,3,0
"1590",6200,5,4,2,1,2,13,7,64,83,3,3,0
"1591",24000,5,5,2,1,2,16,58,65,32,1,3,0
"1592",20000,5,11,1,1,2,14,50,71,40,2,3,1
"1593",7000,5,10,2,1,2,14,60,70,30,1,3,0
"1594",0,6,1,1,2,2,12,71,73,19,1,1,1
"1597",30000,5,8,2,2,2,16,42,68,48,2,1,0
"1598",23000,5,6,2,1,2,18,62,66,28,1,3,0
"1599",20000,5,4,2,1,2,12,50,64,40,2,3,0
"1600",3000,5,6,2,1,2,16,61,66,29,1,3,0
"1601",0,5,3,2,1,2,12,59,63,31,1,3,0
"1602",30000,5,10,1,1,2,16,49,70,41,2,3,1
"1604",12000,5,4,2,1,2,14,67,64,23,1,3,0
"1606",0,5,6,2,1,2,7,49,66,41,2,3,0
"1608",0,5,3,2,1,2,10,53,63,37,2,3,0
"1609",40000,5,11,1,1,2,12,52,71,38,2,3,1
"1610",15000,5,4,2,1,2,14,67,64,23,1,3,0
"1613",36000,5,3,2,1,2,16,45,63,45,2,3,0
"1614",10000,5,6,2,1,2,12,37,66,53,3,3,0
"1616",0,5,3,2,1,2,11,25,63,65,3,3,0
"1617",13000,5,8,2,1,2,14,42,68,48,2,3,0
"1618",0,5,5,2,1,2,12,31,65,59,3,3,0
"1619",0,5,1,2,1,2,14,49,61,41,2,3,0
"1620",10000,5,2,2,2,2,12,63,62,27,1,1,0
"1621",30000,5,9,1,2,1,12,53,69,37,2,1,1
"1624",23000,5,4,1,1,2,13,58,64,32,1,3,1
"1625",20000,5,10,1,1,2,17,22,70,68,3,3,1
"1626",19000,5,5,2,1,2,13,8,65,82,3,3,0
"1628",20000,5,1,1,2,2,11,24,61,66,3,1,1
"1629",28000,5,4,1,2,2,14,27,64,63,3,1,1
"1630",13000,5,5,2,1,2,10,10,65,80,3,3,0
"1631",12000,5,4,1,1,2,12,15,64,75,3,3,1
"1633",20000,5,9,1,1,2,11,67,69,23,1,3,1
"1637",25000,6,2,1,1,2,12,60,74,30,1,3,1
"1639",25000,5,8,2,1,2,13,38,68,52,3,3,0
"1640",0,5,8,2,1,2,12,56,68,34,1,3,0
"1641",0,5,5,2,1,2,14,49,65,41,2,3,0
"1642",18000,5,7,2,1,2,16,50,67,40,2,3,0
"1643",0,5,5,2,1,2,12,72,65,18,1,3,0
"1644",0,5,4,2,1,2,18,44,64,46,2,3,0
"1645",6000,5,2,2,1,2,10,22,62,68,3,3,0
"1646",16000,6,0,1,1,2,13,67,72,23,1,3,1
"1647",45000,6,1,1,1,2,16,52,73,38,2,3,1
"1649",25000,5,10,1,1,2,14,21,70,69,3,3,1
"1650",12000,5,4,2,1,2,14,52,64,38,2,3,0
"1651",2000,5,8,2,1,2,12,72,68,18,1,3,0
"1654",10000,5,3,2,1,2,12,72,63,18,1,3,0
"1656",14000,5,11,1,1,2,12,54,71,36,2,3,1
"1657",15000,5,4,2,1,2,12,59,64,31,1,3,0
"1658",0,5,7,2,1,2,11,53,67,37,2,3,0
"1659",10000,5,0,2,1,2,12,51,60,39,2,3,0
"1661",1200,5,6,2,1,2,4,26,66,64,3,3,0
"1663",15000,4,11,2,1,2,14,28,59,62,3,3,0
"1664",10000,5,3,2,1,2,13,26,63,64,3,3,0
"1665",2000,5,6,1,1,2,12,72,66,18,1,3,1
"1666",0,5,6,2,1,2,12,55,66,35,2,3,0
"1668",4000,5,5,2,1,2,13,57,65,33,1,3,0
"1670",10000,5,4,2,1,2,14,58,64,32,1,3,0
"1675",1500,5,6,2,1,2,12,67,66,23,1,3,0
"1676",18000,5,6,1,9,1,17,64,66,26,1,2,1
"1677",4000,6,1,1,1,2,15,66,73,24,1,3,1
"1678",28000,6,0,1,1,2,16,64,72,26,1,3,1
"1679",10000,6,2,2,1,2,14,68,74,22,1,3,0
"1680",3000,5,5,2,1,2,16,68,65,22,1,3,0
"1681",0,5,4,2,1,2,14,59,64,31,1,3,0
"1683",12000,5,11,1,1,2,12,69,71,21,1,3,1
"1685",19000,5,8,2,1,2,13,45,68,45,2,3,0
"1686",0,5,1,2,1,2,12,57,61,33,1,3,0
"1687",36000,5,10,1,1,2,16,51,70,39,2,3,1
"1688",7000,5,4,2,1,2,16,31,64,59,3,3,0
"1689",35000,4,11,2,1,2,11,56,59,34,1,3,0
"1692",40000,5,8,1,1,2,18,47,68,43,2,3,1
"1693",15000,5,8,1,1,2,14,65,68,25,1,3,1
"1694",8000,5,9,2,1,2,13,47,69,43,2,3,0
"1695",25000,5,9,2,1,2,14,35,69,55,3,3,0
"1697",28000,6,3,1,1,2,18,52,75,38,2,3,1
"1698",22000,5,9,1,1,2,14,55,69,35,2,3,1
"1700",21500,6,0,1,2,2,13,66,72,24,1,1,1
"1701",3000,5,8,2,1,2,12,67,68,23,1,3,0
"1703",23000,6,0,1,1,2,13,62,72,28,1,3,1
"1705",18000,6,0,1,1,2,12,17,72,73,3,3,1
"1707",20000,5,7,1,1,2,16,19,67,71,3,3,1
"1711",16000,5,3,2,1,1,12,44,63,46,2,2,0
"1712",15000,5,9,1,1,2,12,64,69,26,1,3,1
"1713",53000,5,3,2,9,1,17,58,63,32,1,2,0
"1715",26000,6,0,1,1,2,12,63,72,27,1,3,1
"1717",4000,5,5,2,4,2,12,62,65,28,1,4,0
"1718",10000,6,1,1,1,2,16,31,73,59,3,3,1
"1720",43000,5,9,1,1,2,12,39,69,51,3,3,1
"1722",17000,5,9,1,3,2,14,57,69,33,1,4,1
"1723",4000,5,1,2,1,1,12,52,61,38,2,2,0
"1728",50000,6,1,1,1,2,15,42,73,48,2,3,1
"1730",55000,5,7,2,1,2,18,39,67,51,3,3,0
"1731",28000,5,3,2,1,2,16,49,63,41,2,3,0
"1732",0,5,6,2,1,2,12,42,66,48,2,3,0
"1735",5000,5,2,2,1,2,14,42,62,48,2,3,0
"1736",18000,5,5,2,1,2,13,41,65,49,2,3,0
"1737",21000,6,0,1,1,1,15,28,72,62,3,2,1
"1739",12000,5,7,2,1,2,12,57,67,33,1,3,0
"1740",33000,5,5,2,1,1,16,28,65,62,3,2,0
"1742",50000,6,0,1,1,1,13,26,72,64,3,2,1
"1743",6000,5,5,2,1,1,9,16,65,74,3,2,0
"1744",16000,5,4,2,1,2,14,31,64,59,3,3,0
"1745",35000,5,8,1,1,2,12,40,68,50,3,3,1
"1746",25000,5,8,2,1,2,12,47,68,43,2,3,0
"1748",20000,6,4,1,1,2,14,64,76,26,1,3,1
"1749",18000,5,3,2,1,2,12,54,63,36,2,3,0
"1750",34000,6,2,1,1,2,14,12,74,78,3,3,1
"1752",25000,5,8,1,1,2,16,65,68,25,1,3,1
"1755",20000,6,0,1,1,2,17,13,72,77,3,3,1
"1756",33000,5,8,1,1,2,12,21,68,69,3,3,1
"1759",4000,5,5,2,1,2,12,17,65,73,3,3,0
"1761",20000,5,0,2,1,2,8,13,60,77,3,3,0
"1762",40000,6,0,1,1,2,16,57,72,33,1,3,1
"1764",14000,5,4,2,1,2,14,50,64,40,2,3,0
"1765",12000,5,8,2,1,2,12,42,68,48,2,3,0
"1766",25000,5,1,2,1,2,12,59,61,31,1,3,0
"1768",70000,5,7,2,1,2,10,18,67,72,3,3,0
"1769",38000,5,7,2,1,2,17,35,67,55,3,3,0
"1770",14000,5,3,2,1,2,12,62,63,28,1,3,0
"1772",0,5,3,2,1,2,15,57,63,33,1,3,0
"1773",15000,5,0,2,1,2,13,53,60,37,2,3,0
"1774",17000,6,2,1,1,2,16,59,74,31,1,3,1
"1776",60000,5,9,1,1,2,14,24,69,66,3,3,1
"1777",15000,5,7,2,1,2,15,21,67,69,3,3,0
"1778",25000,5,5,1,1,2,16,4,65,86,3,3,1
"1779",18000,5,2,1,1,1,12,27,62,63,3,2,1
"1780",0,5,5,1,1,2,12,35,65,55,3,3,1
"1782",70000,6,0,1,1,2,18,43,72,47,2,3,1
"1783",0,5,6,2,1,1,11,41,66,49,2,2,0
"1784",30000,5,5,2,1,2,18,31,65,59,3,3,0
"1786",8000,5,2,2,1,2,12,39,62,51,3,3,0
"1787",30000,5,11,1,1,2,16,56,71,34,1,3,1
"1788",0,5,2,2,1,2,11,64,62,26,1,3,0
"1789",27000,5,11,1,1,2,14,58,71,32,1,3,1
"1790",47000,5,10,1,1,2,18,47,70,43,2,3,1
"1791",12000,5,7,1,1,1,12,68,67,22,1,2,1
"1793",24000,5,2,2,1,2,17,56,62,34,1,3,0
"1794",13000,5,3,2,1,1,12,55,63,35,2,2,0
"1795",80000,5,1,2,1,2,14,53,61,37,2,3,0
"1796",5000,6,0,1,1,2,12,72,72,18,1,3,1
"1797",0,5,5,2,1,2,12,62,65,28,1,3,0
"1798",25000,5,3,2,1,2,10,30,63,60,3,3,0
"1799",28000,5,6,1,1,2,12,46,66,44,2,3,1
"1800",8000,5,4,2,1,2,15,70,64,20,1,3,0
"1801",10000,5,6,2,1,2,13,39,66,51,3,3,0
"1802",9000,5,8,2,1,2,14,49,68,41,2,3,0
"1803",20000,5,0,2,1,2,12,53,60,37,2,3,0
"1804",12000,5,5,1,1,2,12,19,65,71,3,3,1
"1805",15000,5,5,2,1,2,14,24,65,66,3,3,0
"1806",20000,5,1,2,1,2,14,54,61,36,2,3,0
"1809",28000,5,4,2,1,2,14,54,64,36,2,3,0
"1810",265,5,6,2,1,2,15,69,66,21,1,3,0
"1811",35000,5,9,1,1,2,14,16,69,74,3,3,1
"1813",26000,5,6,2,1,1,14,58,66,32,1,2,0
"1814",27000,5,7,2,1,2,17,56,67,34,1,3,0
"1815",14000,5,8,2,1,2,12,60,68,30,1,3,0
"1816",32000,5,6,1,1,2,16,57,66,33,1,3,1
"1817",10000,5,9,2,1,2,14,58,69,32,1,3,0
"1819",7000,5,9,1,1,2,16,60,69,30,1,3,1
"1820",28000,5,11,1,1,2,17,44,71,46,2,3,1
"1822",60000,6,2,1,1,2,13,36,74,54,3,3,1
"1825",12000,5,9,1,1,2,4,28,69,62,3,3,1
"1828",0,5,5,2,1,2,13,27,65,63,3,3,0
"1829",0,5,5,2,1,2,12,44,65,46,2,3,0
"1831",15000,6,3,2,1,2,13,15,75,75,3,3,0
"1837",15000,6,0,1,1,2,11,27,72,63,3,3,1
"1838",26000,5,4,2,1,2,15,58,64,32,1,3,0
"1839",0,4,11,2,2,2,12,47,59,43,2,1,0
"1840",0,5,11,1,3,2,12,70,71,20,1,4,1
"1841",26000,6,0,1,1,1,16,65,72,25,1,2,1
"1842",18720,5,3,2,2,2,10,54,63,36,2,1,0
"1843",0,5,8,2,2,2,12,68,68,22,1,1,0
"1845",12000,5,4,2,2,2,12,17,64,73,3,1,0
"1846",80000,5,10,1,1,2,17,51,70,39,2,3,1
"1847",48000,5,6,2,1,2,13,51,66,39,2,3,0
"1849",18000,5,2,1,3,2,16,63,62,27,1,4,1
"1852",85000,5,10,1,1,2,15,25,70,65,3,3,1
"1853",35000,5,4,2,2,2,12,43,64,47,2,1,0
"1854",5000,5,9,1,1,2,16,68,69,22,1,3,1
"1855",9000,5,4,2,1,1,13,68,64,22,1,2,0
"1856",30000,5,7,2,1,2,16,63,67,27,1,3,0
"1857",80000,6,0,1,1,2,14,32,72,58,3,3,1
"1858",35000,5,5,2,1,2,16,58,65,32,1,3,0
"1859",12000,5,3,2,1,2,14,56,63,34,1,3,0
"1860",2e+05,5,10,1,1,2,18,56,70,34,1,3,1
"1861",4000,5,4,2,1,2,16,45,64,45,2,3,0
"1862",2000,5,8,1,1,2,12,72,68,18,1,3,1
"1863",24000,5,6,2,1,2,18,21,66,69,3,3,0
"1864",2000,5,6,1,1,1,15,67,66,23,1,2,1
"1866",15000,5,10,1,1,2,17,60,70,30,1,3,1
"1869",6000,5,2,2,1,2,12,25,62,65,3,3,0
"1870",5000,5,6,1,1,2,12,15,66,75,3,3,1
"1871",1500,5,6,2,1,1,12,69,66,21,1,2,0
"1872",28000,5,4,2,1,2,18,42,64,48,2,3,0
"1873",9000,5,10,2,1,2,12,55,70,35,2,3,0
"1874",60000,6,2,1,1,2,14,38,74,52,3,3,1
"1876",1200,5,6,1,1,2,12,71,66,19,1,3,1
"1877",1400,5,2,2,1,1,3,26,62,64,3,2,0
"1879",7000,5,6,2,1,2,13,47,66,43,2,3,0
"1882",21000,5,2,2,1,2,12,59,62,31,1,3,0
"1883",44000,5,9,1,1,2,12,32,69,58,3,3,1
"1885",29000,5,8,1,2,2,16,54,68,36,2,1,1
"1886",3000,6,0,1,1,1,14,72,72,18,1,2,1
"1887",12000,5,4,1,2,2,13,68,64,22,1,1,1
"1888",0,5,4,2,2,1,16,71,64,19,1,1,0
"1889",0,5,0,2,1,1,9,51,60,39,2,2,0
"1890",20000,6,0,1,1,1,12,62,72,28,1,2,1
"1891",1200,5,2,2,2,2,5,17,62,73,3,1,0
"1893",37000,6,2,1,1,2,16,65,74,25,1,3,1
"1894",8000,5,6,1,3,2,10,30,66,60,3,4,1
"1895",35000,5,8,1,3,1,16,60,68,30,1,2,1
"1897",25000,5,2,1,3,2,14,53,62,37,2,4,1
"1898",18000,5,11,2,1,2,10,61,71,29,1,3,0
"1899",30000,5,3,2,2,2,16,54,63,36,2,1,0
"1902",20000,5,9,1,1,2,18,21,69,69,3,3,1
"1904",12000,5,11,1,1,1,6,50,71,40,2,2,1
"1905",0,5,4,2,1,1,12,25,64,65,3,2,0
"1906",10000,5,6,2,1,2,12,22,66,68,3,3,0
"1907",18000,6,0,1,1,2,14,42,72,48,2,3,1
"1908",0,5,2,2,1,1,15,31,62,59,3,2,0
"1911",20000,6,0,1,2,2,12,64,72,26,1,1,1
"1912",31000,5,8,2,1,2,16,47,68,43,2,3,0
"1914",6000,5,4,1,1,1,10,54,64,36,2,2,1
"1915",0,5,4,2,1,2,12,52,64,38,2,3,0
"1917",12000,5,10,1,1,2,13,50,70,40,2,3,1
"1920",13000,5,6,2,1,2,16,57,66,33,1,3,0
"1921",26000,5,7,2,1,2,17,56,67,34,1,3,0
"1922",15000,5,8,2,2,2,11,59,68,31,1,1,0
"1923",30000,5,4,2,1,2,17,62,64,28,1,3,0
"1924",2000,5,5,2,1,2,14,49,65,41,2,3,0
"1925",5000,5,10,1,4,2,13,68,70,22,1,4,1
"1926",53000,5,11,2,1,2,14,64,71,26,1,3,0
"1927",0,5,4,2,1,2,12,54,64,36,2,3,0
"1929",2000,5,2,2,1,2,13,72,62,18,1,3,0
"1930",25000,5,11,1,1,2,17,61,71,29,1,3,1
"1931",5000,6,2,1,1,2,12,72,74,18,1,3,1
"1932",21000,5,4,2,1,2,13,63,64,27,1,3,0
"1935",17000,5,10,2,1,2,15,63,70,27,1,3,0
"1937",12000,5,4,2,1,2,13,53,64,37,2,3,0
"1938",42000,5,10,1,1,1,14,46,70,44,2,2,1
"1939",21000,6,2,1,1,2,12,57,74,33,1,3,1
"1940",6000,5,3,2,1,1,12,25,63,65,3,2,0
"1941",0,4,11,2,1,1,12,44,59,46,2,2,0
"1942",25000,6,2,1,1,2,14,66,74,24,1,3,1
"1943",3000,5,6,2,1,2,14,71,66,19,1,3,0
"1944",3600,5,5,2,1,2,15,23,65,67,3,3,0
"1945",4000,5,11,1,1,2,12,71,71,19,1,3,1
"1946",20000,5,9,1,1,2,14,32,69,58,3,3,1
"1950",52000,5,0,1,1,2,15,40,60,50,3,3,1
"1951",60000,5,4,2,1,2,12,47,64,43,2,3,0
"1952",15000,5,4,2,1,2,13,49,64,41,2,3,0
"1954",90000,6,0,1,1,2,16,40,72,50,3,3,1
"1959",26000,5,1,2,1,2,14,25,61,65,3,3,0
"1960",0,5,2,2,1,1,13,58,62,32,1,2,0
"1961",2000,5,9,1,1,2,12,69,69,21,1,3,1
"1962",16000,5,7,2,1,2,12,29,67,61,3,3,0
"1963",24000,5,5,2,1,1,11,63,65,27,1,2,0
"1965",15000,5,8,1,1,1,16,62,68,28,1,2,1
"1967",42000,6,2,1,1,2,17,47,74,43,2,3,1
"1968",0,5,3,2,1,2,15,42,63,48,2,3,0
"1970",10000,5,5,2,1,2,12,47,65,43,2,3,0
"1971",17000,5,11,1,1,1,13,54,71,36,2,2,1
"1972",30000,5,4,2,1,2,14,56,64,34,1,3,0
"1973",0,5,5,2,1,2,16,68,65,22,1,3,0
"1974",32000,5,9,2,1,2,17,53,69,37,2,3,0
"1975",36000,5,4,2,1,1,17,56,64,34,1,2,0
"1976",10000,6,0,1,1,1,13,70,72,20,1,2,1
"1977",20000,5,3,2,1,2,15,61,63,29,1,3,0
"1979",24000,5,5,2,1,2,12,61,65,29,1,3,0
"1980",17000,6,0,1,1,2,12,58,72,32,1,3,1
"1981",23000,5,5,2,1,2,14,42,65,48,2,3,0
"1982",25000,5,4,2,1,2,12,57,64,33,1,3,0
"1983",50000,5,11,1,1,2,12,40,71,50,3,3,1
"1984",0,5,3,2,1,2,14,51,63,39,2,3,0
"1985",20000,5,2,2,1,2,12,60,62,30,1,3,0
"1986",30000,5,6,2,1,2,16,57,66,33,1,3,0
"1987",7000,5,4,2,1,2,10,51,64,39,2,3,0
"1988",7000,5,7,1,1,2,10,12,67,78,3,3,1
"1989",30000,5,8,1,1,2,11,58,68,32,1,3,1
"1990",3000,5,6,2,1,2,12,66,66,24,1,3,0
"1991",20000,5,6,2,1,2,14,47,66,43,2,3,0
"1992",40000,5,6,2,1,2,16,31,66,59,3,3,0
"1993",10000,5,7,1,1,2,12,13,67,77,3,3,1
"1994",16000,5,6,1,1,2,12,53,66,37,2,3,1
"1995",11000,5,3,2,1,2,9,39,63,51,3,3,0
"1996",16000,5,8,2,1,2,13,47,68,43,2,3,0
"1997",18000,5,10,1,1,2,12,63,70,27,1,3,1
"1999",12000,5,3,2,1,2,16,64,63,26,1,3,0
"2000",4000,5,10,1,2,2,14,69,70,21,1,1,1
"2001",60000,6,0,1,1,2,12,45,72,45,2,3,1
"2002",43000,6,3,1,1,2,17,50,75,40,2,3,1
"2003",31000,5,2,2,1,2,14,51,62,39,2,3,0
"2004",50000,5,8,2,1,2,17,51,68,39,2,3,0
"2005",27000,5,8,2,1,2,14,61,68,29,1,3,0
"2006",30000,5,10,1,1,2,17,34,70,56,3,3,1
"2007",12000,6,1,1,2,2,13,69,73,21,1,1,1
"2010",0,5,9,2,1,2,16,51,69,39,2,3,0
"2011",20000,5,2,2,1,2,17,60,62,30,1,3,0
"2013",15000,5,0,2,2,2,12,14,60,76,3,1,0
"2014",25000,5,4,2,3,2,16,53,64,37,2,4,0
"2016",2000,5,0,2,1,1,6,23,60,67,3,2,0
"2018",3000,6,1,1,1,1,15,70,73,20,1,2,1
"2020",110000,5,6,2,3,2,18,42,66,48,2,4,0
"2021",55000,5,9,1,1,2,18,19,69,71,3,3,1
"2022",58000,5,10,1,1,2,18,37,70,53,3,3,1
"2023",10000,5,10,2,1,2,16,54,70,36,2,3,0
"2024",19000,6,0,1,1,2,12,61,72,29,1,3,1
"2025",15000,5,1,2,1,2,18,8,61,82,3,3,0
"2026",8000,5,4,2,1,2,12,57,64,33,1,3,0
"2027",60000,6,0,1,1,2,12,40,72,50,3,3,1
"2029",6000,5,8,1,1,2,12,63,68,27,1,3,1
